Price,Close,High,Low,Open,Volume
Ticker,AAPG,AAPG,AAPG,AAPG,AAPG
Date,,,,,
2025-01-24,17.3799991607666,18.0,16.5,17.25,2217300
2025-01-27,17.25,17.5,17.0,17.389999389648438,315800
2025-01-28,17.200000762939453,17.3799991607666,17.024999618530273,17.3700008392334,39800
2025-01-29,17.329999923706055,17.450000762939453,17.190000534057617,17.389999389648438,121000
2025-01-30,17.600000381469727,17.860000610351562,17.280000686645508,17.450000762939453,228900
2025-01-31,17.68000030517578,17.972000122070312,17.43000030517578,17.972000122070312,63300
2025-02-03,18.200000762939453,18.200000762939453,17.799999237060547,17.799999237060547,324200
2025-02-04,18.8799991607666,18.950000762939453,18.399999618530273,18.610000610351562,387600
2025-02-05,18.049999237060547,18.920000076293945,17.850000381469727,18.920000076293945,66100
2025-02-06,18.799999237060547,18.93000030517578,18.520000457763672,18.81999969482422,252900
2025-02-07,18.670000076293945,19.3700008392334,18.479999542236328,19.3700008392334,320200
2025-02-10,18.899999618530273,18.989999771118164,18.511999130249023,18.700000762939453,109300
2025-02-11,18.229999542236328,18.700000762939453,18.15999984741211,18.700000762939453,21900
2025-02-12,17.850000381469727,18.010000228881836,17.579999923706055,18.010000228881836,54400
2025-02-13,17.260000228881836,17.510000228881836,17.09000015258789,17.510000228881836,34800
2025-02-14,18.239999771118164,18.93000030517578,17.899999618530273,18.540000915527344,213500
2025-02-18,18.510000228881836,18.795000076293945,18.350000381469727,18.549999237060547,86200
2025-02-19,19.3700008392334,19.3700008392334,18.6200008392334,18.75,69200
2025-02-20,19.670000076293945,19.8799991607666,19.3700008392334,19.389999389648438,50400
2025-02-21,21.170000076293945,21.399999618530273,20.489999771118164,20.799999237060547,167400
2025-02-24,19.5049991607666,21.09000015258789,19.260000228881836,21.09000015258789,46437
